name,lat,long
SWEETWND_1,32.456486,-100.322188
TRSES_UNIT6,32.125833,-96.101578
JCKCNTY2_CC1,33.102714,-97.956
TXCTY_CC1,29.3787,-94.943134
CBEC_CC1,29.289073,-96.069042
PB2SES_CT4,31.585285,-102.963513
LV5_UNIT1,26.499807,-98.517847
LV4_UNIT_1,26.499807,-98.517847
SJS_SJS_G1,29.701202,-95.039467
SWTWN4_WND45,32.303601,-100.499177
ECLIPSE_UN1,29.324061,-100.393714
OECCS_CC1,31.839086,-102.326074
TGF_TGFGT,29.263829,-95.899124
KING_KINGSE,31.237908,-102.237844
MOZART_WIND1,32.994719,-100.531169
PANDA_S_CC1,33.580987,-96.615075
REDGATE_ALL,26.477037,-98.417748
CARBN_BSP_1,32.273974,-101.40123
COL_COLETOG1,28.71506,-97.213174
LHORN_N_U1_2,34.345076,-101.307401
BORDAS_345,27.358092,-98.931877
BCATWD_WD_1,33.509188,-98.570491
LPCCS_CC1,33.631386,-95.589515
VERTIGO_UN1,33.63333,-99.386387
PEAR_PEARS_2,28.92777,-99.091855
HWF_HWFG1,32.824168,-99.278334
VISTRON_TG1,28.570746,-96.833846
FO_FORMOSA11,28.649435,-96.539894
LASSO_GEN,30.367505,-103.523823
HLSES_UNIT3,32.727726,-97.218583
BRTSW_BCW1,33.073455,-98.363595
MARIAH_ALL,34.677698,-102.670416
THW_THWGT5X,29.942229,-95.533039
ETCCS_CC1,32.319935,-96.674723
FRNYPP_CC1,32.756605,-96.490885
LNCRK_ALL,32.530972,-99.542699
TKWSW_ROSCOE,32.494611,-100.67276
CBECII_CC3,29.287854,-96.068816
